tp,q,a,txt,src,domain,set
Simple,"Что такое ""схема территориального планирования"" в Градостроительном кодексе?","Схема территориального планирования - это часть документа территориального планирования, которая содержит картографическое изображение планируемого размещения объектов федерального, регионального и местного значения. Она отражает функциональное зонирование территории и определяет границы этих зон.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 10) схема территориального планирования - часть документа территориального планирования, содержащая картографическое изображение планируемого размещения объектов федерального значения, объектов регионального значения, объектов местного значения, функциональных зон и иной информации, отражающей особенности территории; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
With errors,"Что такое схема тереториального плнирования (ошибка: опечатки, пропущенные буквы)?","Схема территориального планирования - это часть документа территориального планирования, которая содержит картографическое изображение планируемого размещения объектов федерального, регионального и местного значения. Она отражает функциональное зонирование территории и определяет границы этих зон.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 10) схема территориального планирования - часть документа территориального планирования, содержащая картографическое изображение планируемого размещения объектов федерального значения, объектов регионального значения, объектов местного значения, функциональных зон и иной информации, отражающей особенности территории; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Trash,"Объясните мне, пожалуйста, что такое эта схема территориального планирования, это какой-то план, где показано, что будет построено и где, или это просто картинка с разными зонами, в общем, расскажите мне, зачем она нужна и как она используется в планировании территорий?","Схема территориального планирования - это часть документа территориального планирования, которая содержит картографическое изображение планируемого размещения объектов федерального, регионального и местного значения. Она отражает функциональное зонирование территории и определяет границы этих зон.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 10) схема территориального планирования - часть документа территориального планирования, содержащая картографическое изображение планируемого размещения объектов федерального значения, объектов регионального значения, объектов местного значения, функциональных зон и иной информации, отражающей особенности территории; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Reformulation,Содержит ли схема территориального планирования картографическое изображение планируемого размещения объектов?,"Да, схема территориального планирования содержит картографическое изображение планируемого размещения объектов федерального, регионального и местного значения, а также отражает функциональное зонирование территории и определяет границы этих зон.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 10) схема территориального планирования - часть документа территориального планирования, содержащая картографическое изображение планируемого размещения объектов федерального значения, объектов регионального значения, объектов местного значения, функциональных зон и иной информации, отражающей особенности территории; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Incorrect by design,Используется ли схема территориального планирования для определения размера налогов на недвижимость?,"Нет, схема территориального планирования не используется для определения размера налогов на недвижимость. Она предназначена для планирования развития территорий и определения функционального зонирования, а вопросы налогообложения регулируются другими нормативными актами.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 10) схема территориального планирования - часть документа территориального планирования, содержащая картографическое изображение планируемого размещения объектов федерального значения, объектов регионального значения, объектов местного значения, функциональных зон и иной информации, отражающей особенности территории; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Table,,,В предоставленном тексте таблицы отсутствуют.,urban.pdf,law,urban
No info,Какие существуют программы поддержки малого бизнеса в сфере IT-технологий?,"В данном тексте отсутствует информация о программах поддержки малого бизнеса в сфере IT-технологий. Градостроительный кодекс регулирует градостроительную деятельность и территориальное планирование, но не затрагивает вопросы поддержки бизнеса в конкретных отраслях.",Нет информации.,urban.pdf,law,urban
,,,,urban.pdf,law,urban
Simple,"Что такое ""план градостроительного зонирования"" согласно Градостроительному кодексу?","План градостроительного зонирования - это часть документа градостроительного зонирования, который содержит картографическое изображение границ территориальных зон и объектов капитального строительства. Он отражает планируемое использование территорий и определяет границы зон.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 11) план градостроительного зонирования - часть документа градостроительного зонирования, содержащая картографическое изображение границ территориальных зон и объектов капитального строительства; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
With errors,Что такое план градостроительнго занирования (ошибка: опечатки)?,"План градостроительного зонирования - это часть документа градостроительного зонирования, который содержит картографическое изображение границ территориальных зон и объектов капитального строительства. Он отражает планируемое использование территорий и определяет границы зон.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 11) план градостроительного зонирования - часть документа градостроительного зонирования, содержащая картографическое изображение границ территориальных зон и объектов капитального строительства; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Trash,"Объясните мне, пожалуйста, что такое этот план градостроительного зонирования, это какой-то план, где показано, где что можно строить, или это просто картинка с границами зон, в общем, расскажите мне, зачем он нужен и как он используется в планировании территорий?","План градостроительного зонирования - это часть документа градостроительного зонирования, который содержит картографическое изображение границ территориальных зон и объектов капитального строительства. Он отражает планируемое использование территорий и определяет границы зон.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 11) план градостроительного зонирования - часть документа градостроительного зонирования, содержащая картографическое изображение границ территориальных зон и объектов капитального строительства; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Reformulation,Содержит ли план градостроительного зонирования картографическое изображение границ территориальных зон?,"Да, план градостроительного зонирования содержит картографическое изображение границ территориальных зон и объектов капитального строительства. Он используется для определения планируемого использования территорий и установления границ зон.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 11) план градостроительного зонирования - часть документа градостроительного зонирования, содержащая картографическое изображение границ территориальных зон и объектов капитального строительства; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Incorrect by design,Используется ли план градостроительного зонирования для определения тарифов на электроэнергию для промышленных предприятий?,"Нет, план градостроительного зонирования не используется для определения тарифов на электроэнергию. Он предназначен для определения границ территориальных зон и объектов капитального строительства, а вопросы тарифов на электроэнергию регулируются другими нормативными актами.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 11) план градостроительного зонирования - часть документа градостроительного зонирования, содержащая картографическое изображение границ территориальных зон и объектов капитального строительства; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Table,,,В предоставленном тексте таблицы отсутствуют.,urban.pdf,law,urban
No info,Какие существуют меры по снижению уровня безработицы среди молодежи в регионах?,В данном тексте отсутствует информация о мерах по снижению уровня безработицы среди молодежи в регионах. Градостроительный кодекс регулирует градостроительную деятельность и,,urban.pdf,law,urban
,,,,urban.pdf,law,urban
Simple,"Что такое ""документ территориального планирования"" согласно Градостроительному кодексу?","Документ территориального планирования - это документ, который содержит информацию о планируемом использовании и развитии территорий. Он включает в себя схему территориального планирования и текстовую часть, которая описывает цели, задачи и основные направления развития территории. Этот документ важен для обеспечения устойчивого развития территорий.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 12) документ территориального планирования - документ, содержащий сведения о территориальном планировании и включающий в себя схему территориального планирования и текстовую часть; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
With errors,"Что такое докумен терииториального плнирования (ошибка: опечатки, пропущенные буквы)?","Документ территориального планирования - это документ, который содержит информацию о планируемом использовании и развитии территорий. Он включает в себя схему территориального планирования и текстовую часть, которая описывает цели, задачи и основные направления развития территории. Этот документ важен для обеспечения устойчивого развития территорий.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 12) документ территориального планирования - документ, содержащий сведения о территориальном планировании и включающий в себя схему территориального планирования и текстовую часть; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Trash,"Объясните мне, пожалуйста, что такое этот документ территориального планирования, это какой-то план, где показано, что будет построено и где, или это просто бумага с информацией о том, как развивать территорию, в общем, расскажите мне, зачем он нужен и как он используется в планировании территорий?","Документ территориального планирования - это документ, который содержит информацию о планируемом использовании и развитии территорий. Он включает в себя схему территориального планирования и текстовую часть, которая описывает цели, задачи и основные направления развития территории. Этот документ важен для обеспечения устойчивого развития территорий.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 12) документ территориального планирования - документ, содержащий сведения о территориальном планировании и включающий в себя схему территориального планирования и текстовую часть; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Reformulation,Включает ли документ территориального планирования схему территориального планирования?,"Да, документ территориального планирования включает схему территориального планирования и текстовую часть. Схема содержит картографическое изображение планируемого размещения объектов, а текстовая часть описывает цели и задачи развития территории.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 12) документ территориального планирования - документ, содержащий сведения о территориальном планировании и включающий в себя схему территориального планирования и текстовую часть; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Incorrect by design,Используется ли документ территориального планирования для определения размера пенсий для жителей сельских территорий?,"Нет, документ территориального планирования не используется для определения размера пенсий. Он предназначен для планирования развития территорий и определения функционального зонирования, а вопросы социального обеспечения регулируются другими нормативными актами.","Страница 5 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 12) документ территориального планирования - документ, содержащий сведения о территориальном планировании и включающий в себя схему территориального планирования и текстовую часть; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Table,,,В предоставленном тексте таблицы отсутствуют.,urban.pdf,law,urban
No info,Какие существуют программы поддержки развития туризма в регионах?,"В данном тексте отсутствует информация о программах поддержки развития туризма в регионах. Градостроительный кодекс регулирует градостроительную деятельность и территориальное планирование, но не затрагивает вопросы поддержки туризма.",Нет информации.,urban.pdf,law,urban
,,,,urban.pdf,law,urban
Simple,"Что такое ""предельные параметры разрешенного строительства"" в контексте Градостроительного кодекса?","Предельные параметры разрешенного строительства - это максимальные размеры и характеристики объектов капитального строительства, которые разрешены для строительства на конкретной территории. Они определяются градостроительными регламентами и включают такие показатели, как высота, этажность, площадь застройки и другие.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
With errors,"Что такое предельные параметры разрещенного строителства (ошибка: опечатки, пропущенные буквы)?","Предельные параметры разрешенного строительства - это максимальные размеры и характеристики объектов капитального строительства, которые разрешены для строительства на конкретной территории. Они определяются градостроительными регламентами и включают такие показатели, как высота, этажность, площадь застройки и другие.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Trash,"Объясните мне, пожалуйста, что такое эти предельные параметры разрешенного строительства, это какие-то ограничения на то, как можно строить, или это просто рекомендации, в общем, расскажите мне, зачем они нужны и как они влияют на строительство и использование земли?","Предельные параметры разрешенного строительства - это максимальные размеры и характеристики объектов капитального строительства, которые разрешены для строительства на конкретной территории. Они определяются градостроительными регламентами и включают такие показатели, как высота, этажность, площадь застройки и другие.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Reformulation,Определяют ли градостроительные регламенты предельные параметры разрешенного строительства?,"Да, градостроительные регламенты определяют предельные параметры разрешенного строительства, включая максимальные размеры и характеристики объектов капитального строительства. Эти регламенты обеспечивают соблюдение единых стандартов при строительстве и застройке территорий.","Страница 4 из 420, Статья 1. Основные понятия, используемые в настоящем Кодексе... 9) градостроительные регламенты - правила, которые определяют виды разрешенного использования земельных участков и объектов капитального строительства в пределах территориальной зоны; (в ред. Федерального закона от 20.03.2011 N 41-ФЗ)",urban.pdf,law,urban
Incorrect by design,Регулируют ли предельные параметры разрешенного строительства порядок предоставления кредитов для строительства жилья?,"Нет, предельные параметры разрешенного строительства не регулируют порядок предоставления кредитов для строительства жилья. Они касаются исключительно ограничений на размеры и характеристики объектов капитального строительства, а вопросы кредитования регулируются другими нормативными актами.",Страница,urban.pdf,law,urban
,,,,urban.pdf,law,urban
Multi-block,"Каковы основные различия между территориальным планированием и градостроительным зонированием, и как эти процессы влияют на определение видов разрешенного использования земельных участков?","Территориальное планирование является планированием развития территорий в целом, включая установление функциональных зон и определение планируемого размещения объектов. Градостроительное зонирование представляет собой зонирование территорий муниципальных образований для определения территориальных зон и установления градостроительных регламентов. Виды разрешенного использования земельных участков определяются градостроительными регламентами, которые устанавливаются в пределах границ территориальных зон.","Страница 3-4, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 2, 6, 7, 9): ""2) территориальное планирование... 6) градостроительное зонирование... 7) территориальные зоны... 9) градостроительный регламент...""",urban.pdf,law,urban
Multi-block,"Какие объекты относятся к объектам капитального строительства, и как их реконструкция отличается от капитального ремонта с точки зрения изменения параметров и показателей функционирования?","К объектам капитального строительства относятся здания, строения, сооружения, а также объекты незавершенного строительства. Реконструкция предполагает изменение параметров объекта, а капитальный ремонт включает замену или восстановление конструкций, при этом параметры объекта не изменяются. Основное отличие заключается в том, что реконструкция влечет за собой изменение параметров объекта, а капитальный ремонт - нет.","Страница 5-6, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 10, 14, 14.2): ""10) объект капитального строительства... 14) реконструкция объектов капитального строительства... 14.2) капитальный ремонт объектов капитального строительства...""",urban.pdf,law,urban
Multi-block,"В чем заключается разница между строительством, реконструкцией и капитальным ремонтом линейных объектов, и как эти виды деятельности влияют на границы полос отвода и охранных зон?","Строительство линейных объектов - это создание новых линий электропередачи, дорог, трубопроводов и т.п. Реконструкция предполагает изменение параметров объекта, которое влечет за собой изменение класса, категории или первоначально установленных показателей функционирования, а также может требовать изменения границ полос отвода и охранных зон. Капитальный ремонт включает изменение параметров, которое не влечет за собой изменение класса, категории и не требует изменения границ полос отвода и охранных зон.","Страница 5-6, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 10.1, 14.1, 14.3): ""10.1) линейные объекты... 14.1) реконструкция линейных объектов... 14.3) капитальный ремонт линейных объектов...""",urban.pdf,law,urban
Multi-block,"Какие виды деятельности включает в себя градостроительная деятельность, и как обеспечение безопасности и благоприятных условий жизнедеятельности человека связано с устойчивым развитием территорий?","Градостроительная деятельность включает широкий спектр действий, направленных на развитие территорий, таких как территориальное планирование, градостроительное зонирование, планировка территории, архитектурно-строительное проектирование, строительство, капитальный ремонт, реконструкция, снос объектов капитального строительства, эксплуатация зданий и сооружений. Устойчивое развитие территорий предполагает обеспечение безопасности и благоприятных условий жизнедеятельности человека.","Страница 3-4, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 1, 3): ""1) градостроительная деятельность... 3) устойчивое развитие территорий...""",urban.pdf,law,urban
Multi-block,"Каковы основные характеристики территорий общего пользования, и как красные линии определяют их границы и возможность использования?","Территории общего пользования характеризуются тем, что ими беспрепятственно может пользоваться неограниченный круг лиц. Красные линии обозначают границы этих территорий и подлежат установлению, изменению или отмене в документации по планировке территории. Красные линии определяют границы территорий общего пользования, обеспечивая возможность их использования неограниченным кругом лиц и регулируя градостроительную деятельность на прилегающих территориях.","Страница 5, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 11, 12): ""11) красные линии... 12) территории общего пользования...""",urban.pdf,law,urban
Multi-block,"Каким образом понятия ""застройщик"" и ""инженерные изыскания"" связаны с процессом строительства объектов капитального строительства?","Застройщик - это лицо, обеспечивающее строительство объекта на принадлежащем ему участке. Инженерные изыскания – это изучение природных условий и техногенных факторов для безопасного использования территории. Инженерные изыскания служат основой для принятия решений о возможности и способах строительства, а застройщик организует и контролирует процесс строительства на основе результатов этих изысканий.","Страница 6, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 15, 16): ""15) инженерные изыскания - изучение природных условий... 16) застройщик - физическое или юридическое лицо, обеспечивающее на принадлежащем ему земельном участке... строительство...""",urban.pdf,law,urban
Multi-block,"Каким образом связаны понятия ""информационная модель объекта капитального строительства"" и этапы жизненного цикла объекта?","Информационная модель объекта капитального строительства (ИМ) - это совокупность сведений, документов и материалов об объекте в электронном виде. ИМ формируется на протяжении всего жизненного цикла объекта, начиная с инженерных изысканий и заканчивая сносом. ИМ позволяет управлять информацией об объекте на всех этапах его существования.","Страница 5, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункт 10.3): ""10.3) информационная модель объекта капитального строительства... - совокупность взаимосвязанных сведений, документов и материалов об объекте капитального строительства...""",urban.pdf,law,urban
Multi-block,Какая разница между некапитальными строениями и объектами капитального строительства?,"Объекты капитального строительства - это здания, строения, сооружения с прочной связью с землей. Некапитальные строения, в свою очередь, не имеют прочной связи с землей и могут быть перемещены или демонтированы без ущерба. К ним относятся киоски, навесы и другие подобные объекты. Главное различие между этими объектами заключается в их мобильности и возможности демонтажа без серьезных последствий.","Страница 5, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 10, 10.2): ""10) объект капитального строительства - здание, строение, сооружение... 10.2) некапитальные строения, сооружения - строения, сооружения, которые не имеют прочной связи с землей...""",urban.pdf,law,urban
Multi-block,В чём разница между линейными объектами и другими объектами капитального строительства с точки зрения реконструкции и капитального ремонта?,"Линейные объекты, такие как дороги и трубопроводы, отличаются от других объектов капитального строительства в подходах к реконструкции и капитальному ремонту. Реконструкция линейных объектов приводит к изменению их класса или категории, а также может потребовать изменения границ полос отвода. Капитальный ремонт линейных объектов, напротив, не должен изменять их класс, категорию и границы полос отвода.","Страница 5-6, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 10, 10.1, 14, 14.1, 14.2, 14.3): ""10) объект капитального строительства - здание, строение, сооружение... 10.1) линейные объекты... 14) реконструкция объектов капитального строительства... 14.1) реконструкция линейных объектов... 14.2) капитальный ремонт объектов капитального строительства... 14.3) капитальный ремонт линейных объектов...""",urban.pdf,law,urban
Multi-block,"Как связаны между собой понятия ""правила землепользования и застройки"", ""территориальные зоны"" и ""градостроительные регламенты"", и кто утверждает правила землепользования и застройки?","Правила землепользования и застройки (ПЗЗ) — это документ, утверждаемый органами местного самоуправления, в котором определяются территориальные зоны и устанавливаются градостроительные регламенты. Территориальные зоны — это участки, для которых ПЗЗ определяют границы и устанавливают градостроительные регламенты. Градостроительные регламенты — это правила, определяющие виды разрешенного использования земельных участков в пределах каждой территориальной зоны.","Страница 4, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункты 7, 8, 9): ""7) территориальные зоны - зоны, для которых в правилах землепользования и застройки определены границы и установлены градостроительные регламенты; 8) правила землепользования и застройки... утверждается нормативными правовыми актами органов местного самоуправления... 9) градостроительный регламент...""",urban.pdf,law,urban
,,,,urban.pdf,law,urban
Logical thinking,"В каких случаях необходимо проводить инженерные изыскания, и как эти изыскания влияют на принятие решений в градостроительной деятельности?","Инженерные изыскания необходимы для рационального и безопасного использования территорий, особенно при планировании и проектировании объектов капитального строительства. Результаты этих изысканий служат основой для разработки документации по территориальному планированию, планировке территории и архитектурно-строительному проектированию. Они позволяют оценить пригодность территории для строительства, выявить потенциальные риски.","Страница 6, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункт 15): ""15) инженерные изыскания - изучение природных условий и факторов техногенного воздействия в целях рационального и безопасного использования территорий и земельных участков... подготовки данных по обоснованию материалов, необходимых для территориального планирования, планировки территории и архитектурно-строительного проектирования;""",urban.pdf,law,urban
Logical thinking,"Какие факторы следует учитывать при определении видов разрешенного использования земельных участков, и как градостроительные регламенты способствуют обеспечению устойчивого развития территорий?","При определении видов разрешенного использования земельных участков следует учитывать множество факторов, включая экологические, социальные, экономические и культурные аспекты. Градостроительные регламенты играют важную роль в обеспечении устойчивого развития территорий. Эти регламенты определяют виды разрешенного использования, предельные размеры участков, параметры строительства, а также ограничения использования земли и объектов. Градостроительные регламенты позволяют сбалансировать интересы различных сторон, предотвратить негативное воздействие на окружающую среду.","Страница 4, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункт 9): ""9) градостроительный регламент - устанавливаемые в пределах границ соответствующей территориальной зоны виды разрешенного использования земельных участков... ограничения использования земельных участков и объектов капитального строительства, а также применительно к территориям, в границах которых предусматривается осуществление деятельности по комплексному развитию территории, расчетные показатели минимально допустимого уровня обеспеченности соответствующей территории объектами коммунальной, транспортной, социальной инфраструктур и расчетные показатели максимально допустимого уровня территориальной доступности указанных объектов для населения;""",urban.pdf,law,urban
Logical thinking,В чём состоит цель разграничения полномочий между органами местного самоуправления и органами государственной власти субъектов РФ в сфере градостроительной деятельности?,Разграничение полномочий в сфере градостроительной деятельности между органами местного самоуправления и органами государственной власти субъектов РФ направлено на обеспечение эффективного управления территориями. Органы местного самоуправления отвечают за градостроительное зонирование и утверждение правил землепользования и застройки. Органы государственной власти субъектов РФ осуществляют регулирование градостроительной деятельности в городах федерального значения и координируют деятельность органов местного самоуправления.,"Страница 4, Статья 1. Основные понятия, используемые в настоящем Кодексе (пункт 8): ""8) правила землепользования и застройки - документ градостроительного зонирования, который утверждается нормативными правовыми актами органов местного самоуправления, нормативными правовыми актами органов государственной власти субъектов Российской Федерации - городов федерального значения Москвы, Санкт-Петербурга и Севастополя и в котором устанавливаются территориальные зоны, градостроительные регламенты, порядок применения такого документа и порядок внесения в него изменений;""",urban.pdf,law,urban
